NAME,FORM
"CHEMBL6329",C17H12ClN3O3
"CHEMBL6328",C18H12N4O3
"CHEMBL265667",C18H16ClN3O3
"CHEMBL6362",C17H13N3O3
"CHEMBL267864",C17H12ClN3O3
"CHEMBL6363",C17H13N3O3
"CHEMBL6352",C17H11BrClN3O3
"CHEMBL268097",C16H8Cl3N3O3
"CHEMBL266457",C17H12ClN3O5S
"CHEMBL6214",C17H12ClN3O3S
"CHEMBL6222",C16H9Cl2N3O3
"BROMOENOL LACTONE",C16H13BrO2
"CHEMBL6223",C16H13IO2
"CHEMBL269758",C18H14O2
"CHEMBL6228",C16H13IO2
"CHEMBL268365",C16H11N3O3
"CHEMBL6230",C16H11Cl2N3O3
"CHEMBL6254",C16H10ClN3O3
"CHEMBL6268",C17H15N3O3
"CHEMBL414196",C24H27N5O3
"CHEMBL268528",C17H13N3O4
"CHEMBL112998",C18H21N5O4S2
"CHEMBL6344",C17H11Cl2N3O3
"CHEMBL266223",C30H36N6O6
"CHEMBL263077",C23H27N5O3
"CHEMBL6347",C24H27N5O4
"CHEMBL6348",C23H24FN5O3
"CHEMBL6339",C22H27N5O3
"CHEMBL6340",C20H25N5O3
"CHEMBL268768",C23H25N5O3
"CHEMBL6358",C23H24FN5O3
"CHEMBL6351",C23H24ClN5O3
"CHEMBL6342",C23H24FN5O3
"CHEMBL6218",C21H24N6O3
"CHEMBL6219",C28H30N6O6
"CHEMBL6208",C21H30N6O2S
"CHEMBL429379",C23H27N5O3
"CHEMBL415285",C21H25N5O4S
"CHEMBL264721",C21H24N6O2S
"CHEMBL415286",C14H9N3O3S
"CHEMBL6226",C17H15N3O2
"CHEMBL6236",C17H11Cl2N3O3
"CHEMBL6237",C16H11N3O3
"CHEMBL6238",C18H14ClN3O3
"CHEMBL266484",C18H14ClN3O3
"CHEMBL6239",C11H8ClN3O3
"CHEMBL6240",C16H10ClN3O3
"CHEMBL6243",C19H17N3O3
"CHEMBL6272",C16H10ClN3O3
"CHEMBL269496",C17H14ClN3O3
"CHEMBL6283",C16H26N4
"CHEMBL6284",C16H26N4
"CHEMBL6277",C17H28N4
"CHEMBL268830",C17H28N4
"CHEMBL6290",C23H24BrN5O3
"CHEMBL6308",C13H13N3O3
"CHEMBL268150",C11H9N3O3
"CHEMBL6293",C22H12ClN3O4
"CHEMBL447227",C22H21IN6O3S
"CHEMBL6302",C24H28N8O2S2
"CHEMBL268831",C16H26N4
"CHEMBL267915",C16H26N4
"PRAZOSIN",C19H21N5O4
"CHEMBL6306",C21H25N5O5
"CHEMBL415103",C23H25N5O4
"CHEMBL6321",C24H25N5O4
"CHEMBL6323",C25H25N5O3
"CHEMBL6313",C21H23N9O2S
"CHEMBL266081",C22H24ClN5O3
"CHEMBL6314",C24H24N6O3S
"CHEMBL6343",C25H27BrN6O4
"CHEMBL204146",C13H8O5
"CHEMBL6355",C13H8O2
"CHEMBL6364",C13H8O4
"CHEMBL6365",C13H8O4
"CHEMBL266458",C13H8O6
"CHEMBL6366",C22H25N5O4
"ALPHA-BUNGAROTOXIN",C50H70O14
